Dictionary,Type,Countries
Al-Haramayn Foundation (Tanzania),Entity,AU
al-Huythiyin,Entity,AU
Al-Itihaad Al-Islamiya/AIAI,Entity,AU
Al-Jihad,Entity,AU
Al-Kawthar Hawala,Entity,AU
Al-Kawthar Money Exchange,Entity,AU
Al-Madina Trust  ,Entity,AU
Al-Nusra Front,Entity,AU
Al-Nusrah Front,Entity,AU
Al-Nusrah Front for the People of the Levant,Entity,AU
Al-Qa’ida in Syria,Entity,AU
Al-Qa'ida in the Indian Subcontinent,Entity,AU
Al-Qa'ida/Islamic Army,Entity,AU
AL-QAIDA,Entity,AU
Al-Qaida in Egypt (AQE),Entity,AU
Al-Qaida in Iraq,Entity,AU
AL-QAIDA IN THE ARABIAN PENINSULA (AQAP),Entity,AU
Al-Qaida in the South Arabian Peninsula,Entity,AU
Al-Qaida in Yemen,Entity,AU
Al-Qaida of Jihad in the land of the Two Rivers,Entity,AU
Al-Qaida of Jihad Organization in the Arabian Peninsula,Entity,AU
Al-Qaida Organization in the Arabian Peninsula,Entity,AU
Al-Qayrawan Media Foundation ,Entity,AU
Al-Rasheed Trust,Entity,AU
Al-Rashid Trust,Entity,AU
Al-Sanbal,Entity,AU
Al-Shabaab,Entity,AU
AL-SHABAAB AL-ISLAAM,Entity,AU
Al-Shabaab al-Islamiya,Entity,AU
Al-Shabaab al-Jihaad,Entity,AU
Al-Shabab,Entity,AU
al-Shabab al-Mu’min,Entity,AU
Al-Sham Company,Entity,AU
Al-Tawhid,Entity,AU
Al-Watan,Entity,AU
al-Zarqawi network,Entity,AU
al’anasir al-Huthyia,Entity,AU
Aleksandrov Scientific Research Technological Institute (NITI),Entity,NZ
Aleph,Entity,AU
ALFA COMPANY LIMITED FOR INTERNATIONAL TRADING AND MARKETING,Entity,AU
ALFA INVESTMENT AND INTERNATIONAL TRADING,Entity,AU
ALFA TRADING COMPANY,Entity,AU
Alfa-Bank,Bank,"NZ, AU"
All Russia ‘Young Army’ Military Patriotic Social Movement ,Entity,NZ
All Russian Children and Youth Military Patriotic Public Movement Youth Army,Entity,AU
"All-Russia ""Young Army"" Military Patriotic Social Movement",Entity,AU
All-Russia National Research Institute of Wine Growing and Making Magarach,Entity,AU
All-Russian Research Institute of Experimental Physics,Entity,AU
All-Russian Scientific Research Institute of Aviation Materials,Entity,NZ
All-Russian Scientific Research Institute of Aviation Materials ,Entity,AU
All-Russian Scientific-Research Institute of Aviation Materials of National Research Center Kurchatov Institute ,Entity,AU
"Allied
Democratic Forces",Entity,AU
Almaz Central Marine Design Bureau Joint Stock,Entity,AU
Almaz Central Marine Design Bureau Joint Stock Company,Entity,NZ
Almaz-Antey,Entity,AU
Almaz-Antey Corp,Entity,AU
Almaz-Antey Defense Corporation,Entity,AU
Almaz-Antey GSKB,Entity,AU
Almaz-Antey GSKB Imeni Academician A.A. Raspletin,Entity,AU
Almaz-Antey JSC,Entity,AU
Almaz-Antey MSDB,Entity,AU
Almaz-Antey PVO 'Air Defense' Concern Lead Systems Design Bureau OAO 'Open Joint-Stock Company' Imeni Academician A.A. Raspletin,Entity,AU
Alrosa,Entity,"NZ, AU"
Alvand Motorbuilding Industries Company,Entity,NZ
AMD,Entity,AU
AMIF,Entity,AU
AMIG,Entity,AU
Amin Industrial Company,Entity,AU
AMIN INDUSTRIAL COMPLEX,Entity,AU
Amin Industrial Compound,Entity,AU
AMMUNITION AND METALLURGY INDUSTRIES GROUP,Entity,AU
Ammunition Industries Group,Entity,AU
Amnokkang Development Bank,Entity,AU
AMROGGANG Development Bank,Entity,AU
AMROGGANG DEVELOPMENT BANKING CORPORATION,Entity,AU
An Nisa,Entity,AU
Analiticheski Tsentr Katekhon OOO,Entity,AU
ANO,Entity,AU
Ansae Institute,Entity,AU
Ansar al Allah,Entity,AU
Ansar al Charia,Entity,AU
ANSAR AL CHARIA BENGHAZI,Entity,AU
ANSAR AL CHARIA DERNA,Entity,AU
Ansar al Charia in Libya (ASL),Entity,AU
Ansar al Sharia,Entity,AU
Ansar al-Charia,Entity,AU
Ansar al-Charia Benghazi,Entity,AU
Ansar al-Charia Derna,Entity,AU
Ansar al-Huthi,Entity,AU
Ansar al-Islam,Entity,AU
Ansar al-Mohjahedin No-Interest Loan Institute,Entity,AU
Ansar al-Mujahideen Network,Entity,AU
Ansar al-Shari'a (AAS),Entity,AU
"ANSAR AL-SHARI’A IN TUNISIA (AAS-T)
",Entity,AU
Ansar al-Shari’ah ,Entity,AU
Ansar al-Shari’ah in Tunisia ,Entity,AU
Ansar al-Sharia ,Entity,AU
Ansar al-Sharia Benghazi,Entity,AU
Ansar al-Sharia Derna,Entity,AU
Ansar al-Sharia in Tunisia ,Entity,AU
Ansar al-Sunna,Entity,AU
Ansar al-Sunna Army,Entity,AU
Ansar Allah,Entity,AU
Ansar Bank,Entity,AU
Ansar Bayt al-Maqdes,Entity,AU
Ansar Bayt al-Maqdis,Entity,AU
Ansar Bayt al-Maqdis (ABM),Entity,AU
Ansar Beit al-Maqdis,Entity,AU
Ansar Dine,Entity,AU
ANSAR EDDINE,Entity,AU
Ansar Finance and Credit Fund,Entity,AU
Ansar Financial and Credit Institute,Entity,AU
Ansar institute ,Entity,AU
Ansar Jerusalem,Entity,AU
Ansar Saving and Interest-Free Loans Fund,Entity,AU
Ansarallah,Entity,AU
Ansaru,Entity,AU
ANSARUL MUSLIMINA FI BILADIS SUDAN,Entity,AU
Ansarullah,Entity,AU
Ansi metallurgy industry Co. Ltd,Entity,AU
"AO GNPP, Region",Entity,NZ
AO MKB ISKRA,Entity ,AU
AO NII-Vektor ,Entity,AU
AO NPP Topaz ,Entity,AU
AO NPP Tsiklon Test,Entity,NZ
AO Plasma,Entity,AU
AO Roseksimbank ,Entity,AU
AO Svetlana Poluprovodniki,Entity ,AU
AO Technodinamika,Entity ,AU
"AO TMKB, Soyuz",Entity,NZ
Ao Uk Rfpi,Entity,AU
AO Ural Civil Aviation Factory,Entity,NZ
AO VNII Signal,Entity ,AU
AO Vserossiyskiy Nauchno-Issledovatelskiy Institut Signal,Entity ,AU
AO VZPP-S,Entity ,AU
AO Zavod Elekon,Entity ,AU
Applied Physics Institute,Entity,AU
AQAP,Entity,AU
AQI,Entity,AU
AQIM,Entity,AU
AQIS,Entity,AU
AQMI,Entity,AU
Aqssa Society,Entity,AU
Aqssa Society Yemen,Entity,AU
AQY,Entity,AU
Arab Fedayeen Cells,Entity,AU
Arab Palestinian Beit el-Mal Company,Entity,AU
Arab Revolutionary Brigades,Entity,AU
Arab Revolutionary Council,Entity,AU
Aran Modern Devices ,Entity,AU
Aran Modern Devices Kish Company,Entity,AU
Aras Farayande,Entity,AU
Aras Farayande Sadra,Entity,AU
Ardalan Machineries Company,Entity,AU
Arfa Paint Company,Entity,AU
Arfeh Company,Entity,AU
Aria Nikan,Entity,AU
Aria Nikan Marine Industry,Entity,AU
Armament Group,Entity,AU
ARMAMENT INDUSTRIES GROUP,Entity,AU
Armed Forces Aviation Industries Organization,Entity,AU
Armed Forces Geographical Organisation,Entity,AU
Armed Forces Geographical Organization,Entity,AU
Armed Forces of the Russian Federation,Entity,AU
Armed Islamic Group,Entity,AU
Army of Emigrants and Supporters Organization,Entity,AU
ARMY OF MOHAMMED,Entity,AU
Army of the Pure,Entity,AU
Army of the Pure and Righteous,Entity,AU
Army of the Righteous,Entity,AU
Army of the Southeast,Entity,"NZ, AU"
ARVAN CLOUD,Entity,AU
Arvan Cloud Noyad,Entity,AU
Arvancloud,Entity,AU
Arwan Company,Entity,AU
Asbat Al-Ansar,Entity,AU
ASBL,Entity,AU
Ash-Shabaab,Entity,AU
Ashtian Tableau,Entity,AU
Ashtian Tablo,Entity,AU
Ashtian Tablo (P.J.S),Entity,AU
Ashuluk Firing Range,Entity,NZ
Asia Sun Group,Entity,AU
Asia Sun Group Company Limited,Entity,AU
Asia Sun Trading,Entity,AU
Asia Sun Trading Co Ltd,Entity,AU
Asia Sun Trading Company Limited,Entity,AU
ASP,Entity,AU
Assembly for the Liberation of Syria,Entity,AU
Assembly for the Liberation of the Levant,Entity,AU
Association de Secours Palestinien,Entity,AU
Association for Citizens Rights and Resistance to Lies,Entity,AU
"Association for Education, Cultural, and to Create Society -Sirat",Entity,AU
"Association for Education, Culture and Building Society-Sirat",Entity,AU
Association of Citizens for the Support of Truth and Suppression of Lies,Entity,AU
Atomic Reactor Research Institute,Entity ,AU
Atomwaffen Division,Entity,AU
Aum Shinrikyo,Entity,AU
Aum Supreme Truth,Entity,AU
Automation RAAD Khavar,Entity,AU
Avangard Joint Stock Company,Entity,AU
Avangard JSC,Entity,AU
Avangard Plastik,Entity,AU
Avia Group LLC,Entity,AU
Avia Group Ltd,Entity,AU
Avia Group Nord Limited Liability Company,Entity,AU
Avia Group Nord LLC,Entity,AU
Avia Group Techniques,Entity,AU
Aviaavtomatika Named After V. Tarasov JSC,Entity,NZ
Aviastar-SP Aircraft Manufacturing Enterprise,Entity,"NZ, AU"
Aviastar-SP Joint Stock Company ,Entity,AU
AVIATRANS ANSTALT,Entity,AU
AVIATRANS ESTABLISHMENT,Entity,AU
Azia Shipping Company,Entity,AU
Azia Shipping Company LLC,Entity,NZ
Azia Shipping Holdings,Entity,AU
Azia Shipping Holdings Limited,Entity,AU
Azimut LLC,Entity,AU
Azmat Pakistan Trust,Entity,AU
Azmat-e-Pakistan Trust,Entity,AU
Azov Distillery Plant ,Entity,AU
Azov Optomechanical Plant,Entity,NZ
"Azovsky Likerogorilchany Zavod, Krymske Respublikanske Pidpryemstvo",Entity,AU
Azovsky Likerovo-Dochny Zavod,Entity,AU
Ba’ath Party National Security Bureau,Entity,AU
Babba Khalsa,Entity,AU
Babba Khalsa International,Entity,AU
Babbar Khalsa,Entity,AU
Back Severny Morskoy Put,Entity,AU
Baeksol Trading,Entity,AU
Baeksul Trading,Entity,AU
Baharestan Kish Company,Entity,NZ
Baikal Electronics JSC,Entity,NZ
BAL,Entity,AU
Bals Alman,Entity,AU
Baltic Shipyard JSC,Entity,NZ
Bank Dabrabyt,Entity,NZ
Bank for Development and Foreign Economic Affairs,Entity,AU
Bank GPB,Entity,AU
Bank Investitsionniy Kapital,Entity,AU
Bank of East Land,Entity,AU
Bank of Russia,Entity,AU
"Bank of Russia, Central Bank",Entity,AU
Bank Otkritie,Bank,NZ
"Bank Rossi, Federal State Budgetary Institution",Entity,AU
Bank Rossiya,Bank,"NZ, AU"
BANK SADERAT IRAN,Entity,AU
Bank Saint-Petersburg Public Joint Stock Company,Entity,AU
Bank Sankt-Petersburg,Entity,AU
Bank St. Petersburg,Entity,AU
Bank Uralsib,Entity,AU
Bank Uralsib Public Joint Stock Company,Entity,AU
Bank VTB Publichnoe Aktsionernoe Obshchestvo,Entity,AU
Bank Zenit PAO,Entity,AU
Bank Zenit Public Joint Stock Company,Entity,AU
Bank-E Gharzolhasaneh Mehr Iran,Entity,AU
Banna Properties,Entity,AU
BARZAGANI TEJARAT TAVANMAD SACCAL COMPANIES,Entity,AU
Baseej,Entity,AU
Basij,Entity,AU
Basij Cooperative Foundation,Entity,AU
Basij Resistance Force,Entity,AU
Basij-E Melli,Entity,AU
Basque Fatherland and Liberty,Entity,AU
Basque Homeland and Liberty,Entity,AU
Batallion de la mort,Entity,AU
Batalyon Smert,Entity,AU
Battalion ‘Gvardeysky’,Entity,AU
Battalion of Emigrants and Ansar,Entity,AU
Battalion of Emigrants and Supporters,Entity,AU
BAYT AL-MUQDAS CORPS,Entity,AU
Bazargani Tejarat Tavanmad Saccal Companies,Entity,AU
Bazargani Tejerat Tavanmad,Entity,AU
Bazargani Tejerat Tavanmad Saccal Companies,Entity,AU
Behineh Trading,Entity,AU
BEHINEH TRADING CO.,Entity,AU
Beit al Mal Holdings,Entity,AU
BEIT AL-MUQADAS CORPS,Entity,AU
BEIT AL-MUQDAS CORPS,Entity,AU
BEIT AL-MUQDIS CORPS,Entity,AU
Beit el Mal Al-Phalastini Al-Arabi Al-Mushima Al-Aama Al-Mahaduda Ltd,Entity,AU
Beit El-Mal Holdings,Entity,AU
Believing Youth Elements,Entity,AU
Belinvest-Engineering,Entity,NZ
Belinvestbank,Entity,NZ
Belspetsvneshtechnika (BSVT),Entity,AU
Belspetsvneshtechnika SFTUE,Entity,NZ
BelTechExport,Entity,NZ
BEMH,Entity,AU
Bena ,Entity,AU
Bena Properties,Entity,AU
Benevolence International Foundation,Entity,AU
Benham Shahriyari Trading Company,Entity,AU
BIF,Entity,AU
BIF-USA,Entity,AU
BK Co.,Entity,AU
Black June,Entity,AU
Black Sea Bank for Development and Reconstruction,Bank,"NZ, AU"
Black September,Entity,AU
Block Nirou Sun Co,Entity,AU
Blue sky industry corporation,Entity,AU
BNSA Co,Entity,AU
Bochvar National Research Institute for Inorganic Materials,Entity ,AU
Boko Haram,Entity,AU
Bonyad e-Tavon-e,Entity,AU
Bonyad Taavon Sepah,Entity,AU
Bonyad-e Ta'avon-Sepah,Entity,AU
Bonyad-eh Ta’avon-eh Basij,Entity,AU
Bonyan Danesh Shargh,Entity,NZ
Boyad Taavon Basij,Entity,AU
BPS Sberbank OJSC,Entity,NZ
Branch of AO Company Sukhoi Yuri Gagarin Komsomolsk-on-Amur Aircraft Plant,Entity,AU
Branch of PAO Il-Aviastar ,Entity,AU
Branch of RSK MiG Nizhny Novgorod Aviation Construction Plant Sokol ,Entity,AU
Brilliance Banking Corporation,Entity,AU
Bryansk Automobile Plant Joint Stock Company,Entity ,AU
BSI,Entity,AU
Bureau 39,Entity,AU
Business Lab,Entity,AU
BUTEMBO AIRLINES,Entity,AU
Buy Cash,Entity,AU
Buy Cash Money and Money Transfer Company,Entity,AU
buycash.com,Entity,AU
CAGL,Entity,AU
Care of First Oil JV Co Ltd,Entity,AU
Cargo Link Petroleum Logistics Co Ltd,Entity,AU
Cargo Link Petroleum Logistics Company Limited,Entity,AU
Cargo Link Pongrawe Logistics Company Limited,Entity,AU
CBS,Entity,AU
CBSP,Entity,AU
Center for Innovation and Technology Cooperation,Entity,AU
Center for Scientific and Technical Services Dinamika,Entity ,AU
Center to Investigate Organized Crime,Entity,AU
Central Bank of Russia,Entity,AU
Central Bank of the Russian Federation,Entity,"NZ, AU"
Central Committee Bureau 39,Entity,AU
Central Committee of the Militarised Communist Party of Peru ,Entity,AU
Central Design Bureau for Automatics Engineering,Entity,NZ
Central Design Bureau for Automatics Engineering JSC ,Entity,NZ
Central Military Commission of the Workers' Party of Korea (CMC),Entity,AU
Central Research Institute of Automation and Hydraulics Joint Stock Company   ,Entity,AU
Central Research Institute of Structural Materials Prometey Named by I.V. Gorynin of National Research Centre Kurchatov Institute,Entity ,AU
Central Scientific Research Institute of Automation and Hydraulics,Entity,AU
Centre For Engineering And Trade Company,Entity,AU
CERS,Entity,AU
Cetelem Bank,Entity,AU
Cetelem Bank Limited Liability Company,Entity,AU
Cetelem Bank LLC,Entity,AU
Ceux Qui Signent avec le Sang,Entity,AU
CH'O'NGSONG YO'NHAP,Entity,AU
Chahid Hemmat Industrial Group,Entity,AU
Chakad Sanat Asmari Co,Entity,AU
Cham Co,Entity,AU
Cham Holding,Entity,AU
Cham Holding Closed Joint Stock Company,Entity,AU
Cham Holdings,Entity,AU
Cham Investment Group,Entity,"AU, NZ"
Cham Press TV,Entity,AU
Champions of Jerusalem,Entity,AU
Chang An Shipping & Technology,Entity,AU
Chang An Shipping and Technology,Entity,AU
Changgwang Credit Bank,Entity,AU
Changgwang Sinyong Corporation,Entity,AU
Charitable Al-Aqsa Establishment,Entity,AU
Charitable Society to Help the Noble al-Aqsa,Entity,AU
CHAYON KWAHAK-WON,Entity,AU
CHE 2 CHAYON KWAHAKWON,Entity,AU
Cheil Credit Bank,Entity,AU
Chekad Sanat Faraz Asia,Entity,AU
Chelnyvodokanal OOO,Entity,NZ
Cherepovets Steel Mill,Entity,AU
Chernomorneftegaz,Entity,AU
"Chernomorneftegaz CJSC
",Entity,AU
CHO'NGSONG UNITED TRADING COMPANY,Entity,AU
CHON MYONG SHIPPING COMPANY LIMITED,Entity,AU
Chong Chon Gang Shipping Co. Ltd.,Entity,AU
Chongch’al Ch’ongguk,Entity,AU
Chongchongang Shipping Co LTD,Entity,AU
CHONGCHONGANG SHIPPING COMPANY,Entity,AU
CHONGSONG YONHAP,Entity,AU
CHONMYONG SHIPPING CO,Entity,AU
Chornomornaftogaz of the Republic of Crimea,Entity,AU
Chornomornaftogaz State Joint Stock Company,Entity,AU
Choson International Chemicals Joint Operation Company,Entity,AU
Choson Taesong Unhaeng,Entity,AU
CHOSUN CHAWO'N KAEBAL T'UJA HOESA,Entity,AU
Chosun International Chemicals Joint Operation Company,Entity,AU
Chosun Yunha Machinery Joint Operation Company,Entity,AU
CIRA,Entity,AU
Circle of Light,Entity,AU
CITC,Entity,AU
Citizens’ Association for Support and Prevention of lies – Furqan,Entity,AU
CJSC Belbizneslizing,Entity,NZ
Closed Joint-Stock Company Scientific Production Enterprise Topaz,Entity,"NZ, AU"
CMDB Almaz JSC,Entity,AU
Combatant Force for the Liberation of Rwanda,Entity,AU
Comité de Bienfaisance et de Secours aux Palestiniens,Entity,AU
COMMANDER TARIQ AFRIDI GROUP,Entity,AU
Commercial Bank Agrosoyuz,Entity,AU
Commercial Bank of Syria,Entity,AU
Committee for Space Technology,Entity,AU
Committee for the Safety of Roads,Entity,AU
