Dictionary,Type,Countries
Abu Haza',Individual,AU
Abu Hazza',Individual,AU
Abu Hurayah al-Sana'ai ,Individual,AU
Abu Ibraheem ,Individual,AU
Abu Ibrahim al-Hashimi al-Qurashi,Individual,AU
Abu Ilonggo ,Individual,AU
Abu Iman ,Individual,AU
Abu Ismail al-Maghribi,Individual,AU
Abu Iyyadh al-Tunisi ,Individual,AU
Abu JA FAR ,Individual,AU
Abu JA'FAR,Individual,AU
Abu Jabal ,Individual,AU
Abu Jarrah ,Individual,AU
"Abu Khabar,",Individual,AU
Abu Khalid al-Cambodi,Individual,AU
Abu Khalil ,Individual,AU
Abu Luqman al-Suri,Individual,AU
Abu Maansuur Al-Amriki,Individual,AU
Abu Mansour Al-Amriki,Individual,AU
Abu Mansur Al-Amriki,Individual,AU
Abu Mansuur Al-Amriki,Individual,AU
Abu Maria al-Qatani ,Individual,AU
Abu Maryam al-Azadi ,Individual,AU
Abu Maryam al-Saudi ,Individual,AU
Abu Maryam al-Tunisi ,Individual,AU
Abu Maryam al-Zahrani ,Individual,AU
Abu Mohamed al-Adnani,Individual,AU
Abu Mohamed al-Jawlani,Individual,AU
Abu Mohammad Shaykh Aminullah Al-Bishauri,Individual,AU
Abu Mohammed al-Adnani,Individual,AU
Abu Mohammed al-Golani,Individual,AU
ABU MOHAMMED AL-JAWLANI,Individual,AU
Abu Muath al-Juaitni,Individual,AU
Abu Muhammad ,Individual,AU
Abu Muhammad Al-'Ajuri,Individual,AU
Abu Muhammad Al-Ajuri,Individual,AU
Abu Muhammad al-Golani,Individual,AU
Abu Muhammad Al-Jalahmah,Individual,AU
Abu Muhammad al-Jawlani,Individual,AU
Abu Muhammad Al-Kadari,Individual,AU
Abu Muslem al- Maky ,Individual,AU
Abu Muthanna ,Individual,AU
Abu Obeida ,Individual,AU
Abu Qatada Al-Filistini,Individual,AU
Abu Sa'd,Individual,AU
Abu Sa'd at-Trinidadi,Individual,AU
Abu Sadek al-Rawi,Individual,AU
Abu Saleh ,Individual,AU
Abu Sarah al-Saudi,Individual,AU
Abu Seif al-Jawi,Individual,AU
ABU Shaariya,Individual,AU
Abu Shaima’ Kuwaiti ,Individual,AU
Abu Sulaiman Aman Abdurrahman Al-Arkhabiliy,Individual,AU
Abu Suliman al-Harbi,Individual,AU
Abu Ubaydah Yusuf Al-Anabi,Individual,AU
Abu Umar al-Shishani,Individual,AU
Abu Usama ,Individual,AU
Abu Usamah al-Kuwaiti ,Individual,AU
Abu Usamah al-Rahman ,Individual,AU
Abu Wafa al-Saudi,Individual,AU
ABU WAQAS,Individual ,AU
Abu Zayna ,Individual,AU
"Abu ZUBEYR,",Individual,AU
Abu-Ahmad Al-Amriki (The American),Individual,AU
Abu-Ahmad Al-Hawen,Individual,AU
Abu-Ahmad Al-Shahid,Individual,AU
Abu-Ahmad Hadud ,Individual,AU
Abu-Hamzah al-Darnawi,Individual,AU
Abu-Jabal ,Individual,AU
Abu-Julaybib,Individual,AU
Abu-Julaybib al-Urduni,Individual,AU
Abu-Khalil,Individual,AU
abu-Malik al-Ansari,Individual,AU
Abu-Malik al-Shami,Individual,AU
Abu-Malik al-Talli,Individual,AU
Abu-Mohammad al-Adnani al-Shami,Individual,AU
Abu-Muhammad al-Shimali ,Individual,AU
Abu-Muqatil al-Tunisi ,Individual,AU
Abu-Muslim Al-Shishani,Individual,AU
Abu-Naser,Individual,AU
Abu-Rayhanah,Individual,AU
Abu-Rayhanah al-'Ansari al-Jeddawi ,Individual,AU
Abu-Salaah  ,Individual,AU
Abu-Shaima,Individual,AU
Abu-Ubaydah Yusuf Al-Inabi,Individual,AU
Abu-Umar al-Absi ,Individual,AU
Abu-Yunus ,Individual,AU
Abualfazl NAZERI ,Individual,AU
Abubakar,Individual,AU
Abubakar Abdillah ,Individual,AU
Abubakar Abdul Patta Escalon,Individual,AU
ABUBAKAR ABDULPATTA ESCALON,Individual,AU
"Abubakar AHMED,",Individual,AU
Abukar Sheikh,Individual,AU
Abulfazl SALEH-NEJAD,Individual,AU
Abulfazl SALEHNEJAD ,Individual,AU
Abulghasem VALAGOHAR ,Individual,AU
ABUTALEBI Yusef,Individual,AU
ABUWAKAS ,Individual ,AU
ABWAKASI ,Individual ,AU
Achekzai Abdul Samad,Individual,AU
ACHEKZAI ADAM KHAN,Individual,AU
Achille,Individual,AU
Achmed Kaua Omar,Individual,AU
Achwan Mochammad,Individual,AU
Achwan Mochtar,Individual,AU
Achwan Muhammad,Individual,AU
Adam,Individual,AU
Adam  Danial,Individual,AU
Adam Hassaan Hussein,Individual,AU
Adam Mahamat Nouradine,Individual,AU
Adam Maulavi,Individual,AU
Adam Nourreddine,Individual,AU
Adam Nourreldine,Individual,AU
Adam Nureldine,Individual,AU
ADAMENKO Svetlana Viktorovna,Individual,AU
ADAMENKO Svitlana Viktorivna,Individual,AU
Adan Abukar Ali,Individual,AU
Adan Xassaan Xuseen,Individual,AU
ADANOV Monir,Individual,AU
ADANOV Mouneer,Individual,AU
ADANOV Mounir,Individual,AU
Adel,Individual,AU
Adel ben al-Azhar ben Youssef ben Soltane (formerly listed as) ,Individual,AU
Adel Seif al,Individual,AU
Aden Abukar Ali,Individual,AU
ADHAJANI Azim,Individual,AU
Adib Shaban Al-Ani,Individual,AU
Adl Sayf-Al,Individual,AU
ADNAN ABOU WALID AL-SAHRAOUI,Individual,AU
Adnan Abu Waleed al-Sahrawi,Individual,AU
Adnan Abu Walid al-Sahraoui,Individual,AU
Adnan Abu Walid al-Sahrawi,Individual,AU
Adnan Hasan Ahmed S.,Individual,AU
ADNANI ABOU MOHAMED AL,Individual,AU
ADONIA,Individual,AU
Afanaseva Yelena Vladimirovna,Individual,"NZ, AU"
Afanasov Mikhail Alexandrovich,Individual,"NZ, AU"
AFEEF Ghassan,Individual,AU
Afghan Ibrahim,Individual,AU
AFIF Ghassan,Individual,AU
Afonin Yury Vyacheslavovich,Individual,"NZ, AU"
Agaev Bekhan Vakhaevich,Individual,NZ
Agayev Bekkhan,Individual,AU
AGEEVA Irina Anatolyevna,Individual,"NZ, AU"
AGHA ABDUL MANAN,Individual,AU
Agha Abdul Rahman,Individual,AU
Agha Abdullah Jan,Individual,AU
AGHA AHMAD ZIA,Individual,AU
Agha Jan Alizai اغا جان عالیزی (formerly listed as),Individual,AU
Agha Janan,Individual,AU
AGHA SAYED MOHAMMAD AZIM,Individual,AU
Agha Sayyed Ghiassouddine,Individual,AU
Agha Torak,Individual,AU
Agha Toriq,Individual,AU
AGHAJANI Asim,Individual,AU
AGHAJANI Azim,Individual,AU
AGHAJANI Hamid,Individual,AU
AGHAJANI Hosein,Individual,AU
AGHAJANI Saeed,Individual,"AU, NZ"
Ahad Azizirahman Abdul,Individual,AU
AHEIEVA Iryna Anatoliivna,Individual,AU
Ahmad 'Ali Ahsan al-Hamzi,Individual,AU
Ahmad 'Ali al-Hamzi,Individual,AU
Ahmad Abdullah Salih al-Zahrani ,Individual,AU
Ahmad Abu,Individual,AU
"Ahmad AL TANZANI,",Individual,AU
AHMAD AL-HAMZI,Individual,AU
Ahmad Farhad Kanabi,Individual,AU
AHMAD Firas,Individual,AU
Ahmad Fuad Salim  ,Individual,AU
AHMAD Hajj As’ad,Individual,AU
Ahmad Islam Santos ,Individual,AU
Ahmad Jan Akhunzada ,Individual,AU
AHMAD MAHAMOOD HASSAN,Individual ,AU
AHMAD MAHMOOD HASSAN ,Individual ,AU
AHMAD MAHMOUD HASSAN,Individual ,AU
Ahmad Muhammad Yunis,Individual,AU
Ahmad Najmuddin Faraj,Individual,AU
Ahmad Oumar Imhamad al-Fitouri,Individual,AU
Ahmad Shahji ,Individual,AU
Ahmad Tarek Anwar El Sayed,Individual,AU
Ahmad Ustadh,Individual,AU
AHMADI Ameneh Sadat Zabihpour,Individual,AU
Ahmadi Mohammad,Individual,AU
AHMADIAN Ali,Individual,AU
AHMADIAN Ali Akbar,Individual,AU
AHMADIYAN Ali,Individual,AU
Ahmadzai Jan Agha,Individual,AU
Ahmadzai Zahid,Individual,AU
Ahmed,Individual,AU
Ahmed Abdi aw-Mohamed,Individual,AU
Ahmed Abdoullah Ould,Individual,AU
Ahmed Abdullah S al-Zahrani ,Individual,AU
"AHMED ABDULLAH SALEH AL-KHAZMARI AL-ZAHRANI
",Individual,AU
Ahmed Abdullah Saleh al-Zahrani al-Khozmri ,Individual,AU
Ahmed Abubakar,Individual,AU
Ahmed Abubaker Shariff,Individual,AU
Ahmed Adnan S. Hasan,Individual,AU
Ahmed Al-Aqad,Individual,AU
Ahmed AL-DIB,Individual,AU
Ahmed Ali Abdullah Al-Ahmar,Individual,AU
Ahmed Ali al-Hamzi,Individual,AU
Ahmed bin Abdullah Saleh bin al-Zahrani ,Individual,AU
Ahmed Dahir Aweys ,Individual,AU
"Ahmed GHAILANI,",Individual,AU
"Ahmed GHAILANI, Abubakary Khalfan",Individual,AU
Ahmed Islam ,Individual,AU
Ahmed Jan Akhund ,Individual,AU
Ahmed Jan Kuchi ,Individual,AU
Ahmed Jan Zadran ,Individual,AU
Ahmed Kawa Omar,Individual,AU
"Ahmed Khalfan,",Individual,AU
AHMED MAHAMUD HASSAN ALIYANI,Individual ,AU
AHMED MAHMOUD HASSAN,Individual ,AU
Ahmed Muhammad Gamal Abu,Individual,AU
Ahmed Muhammad Yunis,Individual,AU
Ahmed Saeed,Individual,AU
Ahmed Sheikh Abubakar,Individual,AU
Ahmed Tariq Anwar El Sayed,Individual,AU
Ahmed Yousef JARAD ,Individual,AU
Ahmed Zaki Ezat Zaki,Individual,AU
"Ahmed, Abubakar K.",Individual,AU
"Ahmed, Abubakary K.",Individual,AU
AHMEDIAN Ali Akbar,Individual,AU
aiiis_ermak,Individual,AU
Aiman Ahmad AL-DUWAIK,Individual,AU
Aiman Ahmad Rashed Al-Duwaik,Individual,AU
Aiman Muhammed Rabi Al-Zawahiri,Individual,AU
Aiman Sabawi Ibrahim Hasan Al-Tikriti,Individual,AU
AIRAPETIAN Larysa,Individual,AU
AIRAPETYAN Larisa,Individual,AU
Airapetyan Larisa Leonidovna,Individual,NZ
AIRAPETYAN Larysa,Individual,AU
Aisyah Abu,Individual,AU
Aitkulova Elvira,Individual,AU
Aitkulova Elvira Rinatovna,Individual,NZ
Ajami Ajaj,Individual,AU
AJMI HAJJAJ BIN FAHD AL,Individual,AU
AKBARNEJAD Esmaeil,Individual,AU
Akhlaq Abu Ahmad,Individual,AU
Akhmad Shishani ,Individual,AU
Akhmadov Mohmad Isaevich,Individual,"NZ, AU"
Akhmed Rajapovich Chataev ,Individual,AU
Akhtar Mohammad Maz-hari ,Individual,AU
"Akhter Mohmad son of Noor Mohmad

",Individual,AU
Akhund,Individual,AU
Akhund Abdul Bari,Individual,AU
Akhund Abdul Jalil,Individual,AU
Akhund Abdul Razaq Akhund Lala,Individual,AU
Akhund Attiqullah,Individual,AU
Akhund Mohammad Abbas,Individual,AU
AKHUND MOHAMMAD AMAN,Individual,AU
Akhund Mohammad Essa,Individual,AU
AKHUND MOHAMMAD HASSAN,Individual,AU
Akhund Mohammad Ishaq,Individual,AU
Akhund Mullah Baradar,Individual,AU
Akhund Mullah Naim Barech,Individual,AU
Akhund Obaid Ullah,Individual,AU
Akhund Obaidullah,Individual,AU
Akhund Ubaidullah Akhund Yar Mohammad,Individual,AU
Akhundzada Ahmad Jan Akhundzada Shukoor,Individual,AU
Akhunzada Mohammad Eshaq,Individual,AU
Akhwan Mochtar,Individual,AU
Akhwan Muhammad,Individual,AU
Aki,Individual,AU
AKIFYEV Pavel Viktorovich,Individual,NZ
Akimov Alexander Konstantinovich,Individual,"NZ, AU"
AKIMOV Andrey Igorevich,Individual,"NZ, AU"
Akimov Oleg Konstantinovich,Individual,NZ
AKKACHA Djamel,Individual,AU
Akmad ,Individual,AU
Akman Saeed,Individual,AU
Akram Abu,Individual,AU
Akram al-'Ajuri,Individual,AU
Akram Al-Ajouri,Individual,AU
Akram Muhammad Salih Al-Ajuri,Individual,AU
Akram Turki Al-Hishan  ,Individual,AU
AKRAM TURKI HISHAN AL-MAZIDIH,Individual,AU
AKRIN Akrin Saleh,Individual,AU
Aksakov Anatoli,Individual,AU
Aksakov Anatoly Gennadievich,Individual,NZ
AKSENOV Sergei Valerievich,Individual,AU
AKSONOV Serhii Veleriiovich,Individual,AU
Aksyonenko Aleksandr,Individual,AU
Aksyonenko Alexander Sergeevich,Individual,NZ
AKSYONOV Sergey Valeryevich,Individual,AU
AKSYONOV Serhiy Valeriyovich,Individual,AU
AKSYONOV Serhiy Valeryevich,Individual,AU
AKSYUTIN Oleg Yevgenyevich,Individual,"NZ, AU"
Akwan Mochtar,Individual,AU
Al Umairah al-Ghamdi ,Individual,AU
Al Zawahry Aiman Mohamed Rabi ,Individual,AU
Al Zawahry Aiman Mohamed Robi ,Individual,AU
Al-Ahwal,Individual,AU
Al-Baghdadi AL-MAHMOUDI,Individual,AU
Al-Baghdadi Ali Ahmad AL-MAHMOUDI,Individual,AU
Al-Baghdadi Ali AL-MAHMUDI,Individual,AU
al-Bija,Individual,AU
Al-Dabachi,Individual,AU
Al-Grein,Individual,AU
Al-Habib ben Ahmad ben al-Tayib al-Lubiri,Individual,AU
Al-Habu,Individual,AU
al-Hammad,Individual,AU
Al-Hebo,Individual,AU
Al-Kimawi,Individual,AU
Al-Libi,Individual,AU
al-Qasab,Individual,AU
Al-Shammari ,Individual,AU
Al-Ustadh,Individual,AU
Alam Shams ur-Rahman Sher,Individual,AU
Alaqad Abu Yamin,Individual,AU
Alaqad Ahmed,Individual,AU
ALAQAD Ahmed M. M.,Individual,AU
Alar Roman Anatolyevich,Individual,AU
Alassiri Ramzi Mohamed Abdellah Omar Hassan,Individual,AU
Alazai Agha Jan,Individual,AU
Albaker Ibrahim Issa Hijji Mohd,Individual,AU
ALDAY Gorka PALACIOS,Individual,AU
ALEKHIN Andrei Anatolyevich,Individual,AU
Alekhin Andrey Anatolievich,Individual,NZ
ALEKPEROV Vagit,Individual,AU
ALEKPEROV Vagit Yusufovich,Individual,NZ
Aleksander Nikolaevich GANOV ,Individual,AU
Aleksandr Borisovich TOTOONOV ,Individual,AU
Aleksandr Shcherbakov ,Individual,AU
ALEKSANDROV Aleksej Alesandrovitj,Individual,AU
Alekseenko Nikolai Nikolaevich,Individual,NZ
Alekseev Oleg Aleksandrovich,Individual,NZ
ALEKSEEV Oleg Alexandrovich,Individual,AU
Aleksei PUSHKOV ,Individual,AU
Aleksej GIRIČEV,Individual,AU
Alem Ermias,Individual,AU
Alexander Rumyantsev ,Individual,AU
Alexandra Viktorovna GAUS/GAUSS,Individual,AU
ALEXANDROV Aleksey Alexandrovich,Individual,AU
ALEXANDROV Alexey,Individual,AU
ALEXANDROV Alexey Alexandrovich,Individual,AU
ALEXANDROV Vladimir Gheorghievici,Individual,AU
