Ідентифікатор в реєстрі,Ім'я/назва суб'єкта,Тип,Статус,Указ Президента,Дата введення в дію,США,Велика Британія,Канада,ЄС,Швейцарія,Японія,Австралія,Нова Зеландія,Посилання на рішення
16333,Чеченський державний педагогічний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16334,Санкт-Петербурзький державний інститут психології та соціальної роботи,legal,active,401/2022,2022-06-09,,,,,,,,,
16335,Уфимський державний нафтовий технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16336,Дагестанський гуманітарний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16337,Астраханська державна медична академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16338,Санкт-Петербурзький державний університет телекомунікацій імені професора Бонч-Бруєвича,legal,active,401/2022,2022-06-09,,,,,,,,,
16339,Російський державний гуманітарний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16340,Брянська державна сільськогосподарська академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16341,Національний дослідницький університет “МІЕТˮ,legal,active,401/2022,2022-06-09,,,,,,,,,
16342,Північно-Кавказький університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16343,Самарський національний дослідницький університет імені академіка Корольова,legal,active,401/2022,2022-06-09,,,,,,,,,
16344,Російська християнська гуманітарна академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16345,Хабаровський державний університет економіки і права,legal,active,401/2022,2022-06-09,,,,,,,,,
16346,Державний аграрний університет північного Зауралля,legal,active,401/2022,2022-06-09,,,,,,,,,
16347,Російський державний університет імені Герцена,legal,active,401/2022,2022-06-09,,,,,,,,,
16348,Новгородський державний університет імені Ярослава Мудрого,legal,active,401/2022,2022-06-09,,,,,,,,,
16350,Північно-Східний державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16351,Дагестанський державний університет народного господарства,legal,active,401/2022,2022-06-09,,,,,,,,,
16352,Бєлгородський інститут розвитку освіти,legal,active,401/2022,2022-06-09,,,,,,,,,
16353,Самарський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16354,Національний дослідницький університет ІТМО,legal,active,401/2022,2022-06-09,,,,,,,,,
16355,Ростовський державний університет шляхів сполучення,legal,active,401/2022,2022-06-09,,,,,,,,,
16356,Петрозаводський технологічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16357,Російський хіміко-технологічний університет імені Менделєєва,legal,active,401/2022,2022-06-09,,,,,,,,,
16358,Поволзький державний університет сервісу,legal,active,401/2022,2022-06-09,,,,,,,,,
16359,Башкирський державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16360,Сочинський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16361,Національний дослідницький Томський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16362,Далекосхідна державна академія фізичної культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16363,Північно-Осетинський державний педагогічний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16364,Сахалінський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16365,Самарський державний університет шляхів сполучення,legal,active,401/2022,2022-06-09,,,,,,,,,
16366,Бєлгородський державний технологічний університет імені Шухова,legal,active,401/2022,2022-06-09,,,,,,,,,
16367,Мордовський державний університет імені Огарьова,legal,active,401/2022,2022-06-09,,,,,,,,,
16368,Пʼятигорський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16369,Нижньовартовський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16370,Ярославський державний педагогічний університет імені Ушинського,legal,active,401/2022,2022-06-09,,,,,,,,,
16371,Пензенський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16372,Бурятський державний університет імені Банзарова,legal,active,401/2022,2022-06-09,,,,,,,,,
16373,Дагестанський державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16374,Нижегородський державний технічний університет імені Алексєєва,legal,active,401/2022,2022-06-09,,,,,,,,,
16375,Пермська державна академія мистецтва і культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16376,Санкт-Петербурзька духовна академія російської Православної Церкви,legal,active,401/2022,2022-06-09,,,,,,,,,
16377,Тюменський державний індустріальний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16378,Кіровський державний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16379,Нижегородський державний лінгвістичний університет імені Добролюбова,legal,active,401/2022,2022-06-09,,,,,,,,,
16380,Далекосхідний державний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16381,Амурська державна медична академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16383,Сибірський державний університет водного транспорту,legal,active,401/2022,2022-06-09,,,,,,,,,
16384,Омський державний університет імені Достоєвського,legal,active,401/2022,2022-06-09,,,,,,,,,
16385,Сургутський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16386,Чайковський державний інститут фізичної культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16387,Краснодарський державний інститут культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16388,Російський новий університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16389,Санкт-Петербурзька юридична академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16390,Кемеровський державний сільськогосподарський інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16391,Псковський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16392,Санкт-Петербурзький державний педіатричний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16393,Забайкальський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16394,Кемеровський державний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16395,Тюменський інститут підвищення кваліфікації співробітників МВС РФ,legal,active,401/2022,2022-06-09,,,,,,,,,
16396,Ульяновський державний аграрний університет імені Столипіна,legal,active,401/2022,2022-06-09,,,,,,,,,
16397,Рязанський державний медичний університет імені академіка Павлова,legal,active,401/2022,2022-06-09,,,,,,,,,
16398,Волгоградський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16399,Санкт-Петербурзька державна художньо-промислова академія імені Штигліца,legal,active,401/2022,2022-06-09,,,,,,,,,
16400,Балтійський федеральний університет імені Канта,legal,active,401/2022,2022-06-09,,,,,,,,,
16401,Російський університет транспорту,legal,active,401/2022,2022-06-09,,,,,,,,,
16402,Уральський федеральний університет імені першого Президента Росії Єльцина,legal,active,401/2022,2022-06-09,,,,,,,,,
16403,Самарський державний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16404,Самарський державний економічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16405,Іркутський національний дослідницький технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16406,Далекосхідний федеральний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16407,Волгоградський державний соціально-педагогічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16409,Ульяновський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16410,Північно-Кавказька державна гуманітарно-технологічна академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16411,Тульський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16412,Московський державний лінгвістичний університет (Моріса Тореза),legal,active,401/2022,2022-06-09,,,,,,,,,
16413,Пермський державний національний дослідницький університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16414,Тольяттінський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16415,Омський державний педагогічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16416,Північний (Арктичний) федеральний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16417,Майкопський державний технологічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16418,Сибірський державний медичний університет Міністерства охорони здоровʼя Російської Федерації,legal,active,401/2022,2022-06-09,,,,,,,,,
16419,Бєлгородський державний інститут мистецтв та культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16420,Югорський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16421,Камчатський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16422,Омський державний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16423,Московський державний педагогічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16424,Пермська державна фармацевтична академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16425,Російський національний дослідницький медичний університет імені Пирогова,legal,active,401/2022,2022-06-09,,,,,,,,,
16426,Астраханський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16427,Самарський медичний університет “Реавізˮ,legal,active,401/2022,2022-06-09,,,,,,,,,
16428,Омський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16430,Санкт-Петербурзький державний економічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16431,Санкт-Петербурзький медико-соціальний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16432,Всеросійський державний університет кінематографії імені Герасимова,legal,active,401/2022,2022-06-09,,,,,,,,,
16433,Адигейський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16434,Самарський державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16435,Російська академія народного господарства і державної служби при Президентові Російської Федерації,legal,active,401/2022,2022-06-09,,,,,,,,,
16436,Санкт-Петербурзький державний лісотехнічний університет імені Кірова,legal,active,401/2022,2022-06-09,,,,,,,,,
16437,Удмуртський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16438,Камчатський державний університет імені Вітуса Беринга,legal,active,401/2022,2022-06-09,,,,,,,,,
16439,Донський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16440,Оренбурзький державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16441,Тобольська Православна Духовна Семінарія,legal,active,401/2022,2022-06-09,,,,,,,,,
16442,Санкт-Петербурзький державний університет цивільної авіації,legal,active,401/2022,2022-06-09,,,,,,,,,
16443,Поволзький державний університет телекомунікацій та інформатики,legal,active,401/2022,2022-06-09,,,,,,,,,
16444,Башкирський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16445,Санкт-Петербурзький державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16446,Астраханська державна консерваторія,legal,active,401/2022,2022-06-09,,,,,,,,,
16447,Самарський державний соціально-педагогічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16448,Волгоградський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16449,Санкт-Петербурзький хіміко-фармацевтичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16450,Самарський державний інститут культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16451,Астраханський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16453,Північно-Східний федеральний університет імені Аммосова,legal,active,401/2022,2022-06-09,,,,,,,,,
16454,Уфимський державний авіаційний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16455,Ярославський державний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16456,Смоленський державний університет спорту,legal,active,401/2022,2022-06-09,,,,,,,,,
16457,Омський державний університет шляхів сполучення,legal,active,401/2022,2022-06-09,,,,,,,,,
16458,Північно-Осетинський державний університет імені Хетагурова,legal,active,401/2022,2022-06-09,,,,,,,,,
16459,Тюменський державний інститут культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16460,Башкирський державний медичний університет Міністерства охорони здоровʼя Російської Федерації,legal,active,401/2022,2022-06-09,,,,,,,,,
16461,Російський державний інститут сценічних мистецтв,legal,active,401/2022,2022-06-09,,,,,,,,,
16462,Московський державний обласний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16463,Східно-Сибірський державний інститут культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16464,Пермський національний дослідницький політехнічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16465,Тюменський державний медичний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16466,Поволзький державний технологічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16467,Липецький державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16468,Московський авіаційний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16469,Бєлгородський державний національний дослідницький університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16470,Фінансовий університет при Уряді Російської Федерації,legal,active,401/2022,2022-06-09,,,,,,,,,
16471,Кемеровський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16472,Воронезький державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16473,Вʼятський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16474,Національний дослідницький університет “МЕІˮ,legal,active,401/2022,2022-06-09,,,,,,,,,
16475,Тюменський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16476,Санкт-Петербурзький політехнічний університет Петра Великого,legal,active,401/2022,2022-06-09,,,,,,,,,
16477,Томський державний університет систем управління та радіоелектроніки,legal,active,401/2022,2022-06-09,,,,,,,,,
16478,Сибірський федеральний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16479,Державний інститут російської мови імені О.С. Пушкіна,legal,active,401/2022,2022-06-09,,,,,,,,,
16480,Ростовська державна консерваторія імені С.В. Рахманінова,legal,active,401/2022,2022-06-09,,,,,,,,,
16481,Башкирський державний педагогічний університет імені Акмулли,legal,active,401/2022,2022-06-09,,,,,,,,,
16482,Чеченський державний університет імені Кадирова,legal,active,401/2022,2022-06-09,,,,,,,,,
16483,Північно-Західний державний медичний університет імені Мєчнікова,legal,active,401/2022,2022-06-09,,,,,,,,,
16484,Володимирський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16485,Національний дослідницький Томський політехнічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16486,Московський державний технологічний університет “СТАНКІНˮ,legal,active,401/2022,2022-06-09,,,,,,,,,
16487,Східно-Сибірський державний університет технологій та управління,legal,active,401/2022,2022-06-09,,,,,,,,,
16488,Краснодарський університет МВС РФ,legal,active,401/2022,2022-06-09,,,,,,,,,
16489,Новосибірський державний архітектурно-будівельний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16490,Хабаровський державний інститут мистецтв та культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16491,Ставропольський державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16492,Ставропольський державний педагогічний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16493,Санкт-Петербурзький університет технологій управління та економіки,legal,active,401/2022,2022-06-09,,,,,,,,,
16494,Невинномиський державний гуманітарно-технічний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16495,Тамбовський державний університет імені Державіна,legal,active,401/2022,2022-06-09,,,,,,,,,
16496,Казанський (Приволзький) федеральний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16497,Тверський державний технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16498,Владивостоцький державний університет економіки і сервісу,legal,active,401/2022,2022-06-09,,,,,,,,,
16499,Далекосхідний державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16500,Московський державний інститут міжнародних відносин (університет) Міністерства закордонних справ Російської Федерації,legal,active,401/2022,2022-06-09,,,,,,,,,
16501,Кубанський державний аграрний університет імені Трубіліна,legal,active,401/2022,2022-06-09,,,,,,,,,
16502,Російський державний аграрний університет імені Тімірязєва,legal,active,401/2022,2022-06-09,,,,,,,,,
16503,Санкт-Петербурзький державний морський технічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16504,Горський державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16505,Карачаєво-Черкеський державний університет імені Алієва,legal,active,401/2022,2022-06-09,,,,,,,,,
16506,"Волзький інститут економіки, педагогіки і права",legal,active,401/2022,2022-06-09,,,,,,,,,
16508,Липецький державний педагогічний університет імені Семенова-Тянь-Шанського,legal,active,401/2022,2022-06-09,,,,,,,,,
16509,Новосибірський національний дослідний державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16510,Російський університет дружби народів,legal,active,401/2022,2022-06-09,,,,,,,,,
16511,Воронезький державний педагогічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16512,Іркутський державний університет шляхів сполучення,legal,active,401/2022,2022-06-09,,,,,,,,,
16513,Курський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16514,Поволзький інститут управління імені Столипіна,legal,active,401/2022,2022-06-09,,,,,,,,,
16515,Національний дослідний технологічний університет МІСіС,legal,active,401/2022,2022-06-09,,,,,,,,,
16516,Санкт-Петербурзький інститут стоматології післядипломної освіти,legal,active,401/2022,2022-06-09,,,,,,,,,
16517,Глазовський державний педагогічний інститут імені Короленка,legal,active,401/2022,2022-06-09,,,,,,,,,
16518,Кузбаський інститут федеральної служби виконання покарань,legal,active,401/2022,2022-06-09,,,,,,,,,
16519,Самарський університет державного управління “Міжнародний інститут ринкуˮ,legal,active,401/2022,2022-06-09,,,,,,,,,
16520,Саратовський національний дослідний державний університет імені Чернишевського,legal,active,401/2022,2022-06-09,,,,,,,,,
16521,Череповецький державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16522,Волгоградський державний аграрний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16523,Бурятська державна сільськогосподарська академія,legal,active,401/2022,2022-06-09,,,,,,,,,
16524,Нижегородський державний педагогічний університет імені Мініна,legal,active,401/2022,2022-06-09,,,,,,,,,
16525,Марійський державний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16526,Національний дослідний ядерний університет “МІФІˮ,legal,active,401/2022,2022-06-09,,,,,,,,,
16527,Санкт-Петербурзький державний технологічний інститут (технічний університет),legal,active,401/2022,2022-06-09,,,,,,,,,
16528,Санкт-Петербурзький державний електротехнічний університет ЛЕТІ імені В.І. Ульянова (Леніна),legal,active,401/2022,2022-06-09,,,,,,,,,
16529,Північно-Кавказький соціальний інститут,legal,active,401/2022,2022-06-09,,,,,,,,,
16530,Ростовський державний медичний університет Міністерства охорони здоровʼя Російської Федерації,legal,active,401/2022,2022-06-09,,,,,,,,,
16531,Краснодарське вище воєнне училище імені генерала армії Штеменка,legal,active,401/2022,2022-06-09,,,,,,,,,
16532,Омський державний аграрний університет імені Столипіна,legal,active,401/2022,2022-06-09,,,,,,,,,
16533,Кемеровський державний університет культури і мистецтв,legal,active,401/2022,2022-06-09,,,,,,,,,
16534,Благовєщенський державний педагогічний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16535,Сибірський державний індустріальний університет,legal,active,401/2022,2022-06-09,,,,,,,,,
16536,Волгоградська державна академія фізичної культури,legal,active,401/2022,2022-06-09,,,,,,,,,
16537,Кузбазський державний технічний університет імені Горбачова,legal,active,401/2022,2022-06-09,,,,,,,,,
16538,Ханти-Мансійська державна медична академія,legal,active,401/2022,2022-06-09,,,,,,,,,
18504,Російський фонд прямих інвестицій,legal,active,726/2022,2022-10-19,,,,,,,,,
18505,"Акціонерне товариство ""Альфа-Банк""",legal,active,726/2022,2022-10-19,,,,,,,,,
18506,"Публічне акціонерне товариство ""Транскапіталбанк""",legal,active,726/2022,2022-10-19,,,,,,,,,
18507,"Публічне акціонерне товариство ""Уральський банк реконструкції і розвитку""",legal,active,726/2022,2022-10-19,,,,,,,,,
18508,"Публічне акціонерне товариство ""Федеральна гідрогенеруюча компанія - РусГідро",legal,active,726/2022,2022-10-19,,,,,,,,,
18509,"Акціонерна компанія ""Алроса"" (Публічне акціонерне товариство)",legal,active,726/2022,2022-10-19,,,,,,,,,
18510,Публічне акціонерне товариство «Московський кредитний банк»,legal,active,726/2022,2022-10-19,,,,,,,,,
18511,"Акціонерне товариство ""Спеціалізований забудовник ""ІКС""",legal,active,726/2022,2022-10-19,,,,,,,,,
18512,"Товариство з обмеженою відповідальністю ""Перспективні інвестиції""",legal,active,726/2022,2022-10-19,,,,,,,,,
18513,"Товариство з обмеженою відповідальністю Страхова компанія ""Сбєрбанк страхування життя""",legal,active,726/2022,2022-10-19,,,,,,,,,
18514,ЕсБі Секьюрітіс СА,legal,active,726/2022,2022-10-19,,,,,,,,,
18515,"Товариство з обмеженою відповідальністю ""СБ КІБ холдинг""",legal,active,726/2022,2022-10-19,,,,,,,,,
18516,"Товариство з обмеженою відповідальністю ""Сбєрбанк факторинг""",legal,active,726/2022,2022-10-19,,,,,,,,,
18517,"Акціонерне товариство ""Расчьотниє рєшенія""",legal,active,726/2022,2022-10-19,,,,,,,,,
18518,"Товариство з обмеженою відповідальністю ""Видающієся кредіти""",legal,active,726/2022,2022-10-19,,,,,,,,,
18519,"Товариство з обмеженою відповідальністю ""Технології кредитування""",legal,active,726/2022,2022-10-19,,,,,,,,,
18520,Арімеро холдінг лімітед,legal,active,726/2022,2022-10-19,,,,,,,,,
18521,"Товариство з обмеженою відповідальністю ""Ринковий спецдепозитарій""",legal,active,726/2022,2022-10-19,,,,,,,,,
18523,"Товариство з обмеженою відповідальністю ""Бізнес-фінанс""",legal,active,726/2022,2022-10-19,,,,,,,,,
18524,"Акціонерне товариство ""Саровбізнесбанк""",legal,active,726/2022,2022-10-19,,,,,,,,,
18525,В’єтнамсько-російський спільний банк,legal,active,726/2022,2022-10-19,,,,,,,,,
18526,ВТБ банк юроп СЕ,legal,active,726/2022,2022-10-19,,,,,,,,,
18527,Товариство з обмеженою відповідальністю ВТБ Форекс,legal,active,726/2022,2022-10-19,,,,,,,,,
18528,"Публічне акціонерне товариство Страхова компанія ""Росгострах""",legal,active,726/2022,2022-10-19,,,,,,,,,
18529,Откритіє ЛТД,legal,active,726/2022,2022-10-19,,,,,,,,,
18530,"Товариство з обмеженою відповідальністю ""Керуюча компанія ""Навігатор""",legal,active,726/2022,2022-10-19,,,,,,,,,
18531,"Товариство з обмеженою відповідальністю ""Керуюча компанія ""Откритіє""",legal,active,726/2022,2022-10-19,,,,,,,,,
18532,"Акціонерне товариство ""Откритіє брокер""",legal,active,726/2022,2022-10-19,,,,,,,,,
18533,"Товариство з обмеженою відповідальністю ""Таможенна карта""",legal,active,726/2022,2022-10-19,,,,,,,,,
18534,"Товариство з обмеженою відповідальністю ""Откритіє факторинг""",legal,active,726/2022,2022-10-19,,,,,,,,,
18535,"Товариство з обмеженою відповідальністю ""Откритіє капітал""",legal,active,726/2022,2022-10-19,,,,,,,,,
18536,Откритіє кепітал лімітед,legal,active,726/2022,2022-10-19,,,,,,,,,
18537,"Акціонерне товариство ""Недержавний пенсійний фонд ""Откритіє""",legal,active,726/2022,2022-10-19,,,,,,,,,
18538,"Публічне акціонерне товариство ""Росгосстрах банк""",legal,active,726/2022,2022-10-19,,,,,,,,,
18539,"Акціонерне товариство ""Фінтендер""",legal,active,726/2022,2022-10-19,,,,,,,,,
18540,Товариство з обмеженою відповідальністю «Совкомбанк факторинг»,legal,active,726/2022,2022-10-19,,,,,,,,,
18541,"Товариство з обмеженою відповідальністю ""Бест2пей""",legal,active,726/2022,2022-10-19,,,,,,,,,
18542,"Товариство з обмеженою відповідальністю ""Комерційні ІТ-рішення""",legal,active,726/2022,2022-10-19,,,,,,,,,
18543,"Товариство з обмеженою відповідальністю Інвестиційна компанія ""Септем капітал""",legal,active,726/2022,2022-10-19,,,,,,,,,
18544,"Акціонерне товариство Страхова компанія ""Совкомбанк життя""",legal,active,726/2022,2022-10-19,,,,,,,,,
18545,"Товариство з обмеженою відповідальністю ""Мобільні платежі""",legal,active,726/2022,2022-10-19,,,,,,,,,
18546,"Товариство з обмеженою відповідальністю ""Совкомбанк лізинг""",legal,active,726/2022,2022-10-19,,,,,,,,,
18547,"Товариство з обмеженою відповідальністю ""Совкомбанк управління активами""",legal,active,726/2022,2022-10-19,,,,,,,,,
18548,Комео інвестмент лімітед,legal,active,726/2022,2022-10-19,,,,,,,,,
18549,"Товариство з обмеженою відповідальністю ""Совкомбанк технології""",legal,active,726/2022,2022-10-19,,,,,,,,,
18550,"Товариство з обмеженою відповідальністю ""Совком факторинг""",legal,active,726/2022,2022-10-19,,,,,,,,,
18551,"Товариство з обмеженою відповідальністю ""Совкомкард""",legal,active,726/2022,2022-10-19,,,,,,,,,
18552,"Товариство з обмеженою відповідальністю ""Цифрові технології майбутнього""",legal,active,726/2022,2022-10-19,,,,,,,,,
18553,"Товариство з обмеженою відповідальністю ""Юесем""",legal,active,726/2022,2022-10-19,,,,,,,,,
